Missing EGPZ and unicode signes
reading EGPZ
reading Unicode
Opening /jseshGlyphs/list.txt
glyph A64 (UNICODE) not found
glyph A65 (UNICODE) not found
glyph A70 (UNICODE) not found
glyph C13 (UNICODE) not found
glyph C15 (UNICODE) not found
glyph C16 (UNICODE) not found
glyph D48a (UNICODE) not found
glyph D50b (UNICODE) not found
glyph D50c (UNICODE) not found
glyph D50d (UNICODE) not found
glyph D50e (UNICODE) not found
glyph D50f (UNICODE) not found
glyph D50g (UNICODE) not found
glyph D50h (UNICODE) not found
glyph D50i (UNICODE) not found
glyph D64 (UNICODE) not found
glyph D67a (UNICODE) not found
glyph D67b (UNICODE) not found
glyph D67c (UNICODE) not found
glyph D67d (UNICODE) not found
glyph D67e (UNICODE) not found
glyph D67f (UNICODE) not found
glyph D67g (UNICODE) not found
glyph D67h (UNICODE) not found
glyph E28a (UNICODE) not found
glyph F21a (UNICODE) not found
glyph F45a (UNICODE) not found
glyph F51c (UNICODE) not found
glyph G6a (UNICODE) not found
glyph G11a (UNICODE) not found
glyph G36a (UNICODE) not found
glyph G37a (UNICODE) not found
glyph G45a (UNICODE) not found
glyph I11a (UNICODE) not found
glyph L2a (UNICODE) not found
glyph L6a (UNICODE) not found
glyph L8 (UNICODE) not found
glyph M10a (UNICODE) not found
glyph M12c (UNICODE) not found
glyph M12d (UNICODE) not found
glyph M12e (UNICODE) not found
glyph M12f (UNICODE) not found
glyph M12g (UNICODE) not found
glyph M12h (UNICODE) not found
glyph M28a (UNICODE) not found
glyph N18b (UNICODE) not found
glyph N25a (UNICODE) not found
glyph NL1 (UNICODE) not found
glyph NL2 (UNICODE) not found
glyph NL3 (UNICODE) not found
glyph NL4 (UNICODE) not found
glyph NL5 (UNICODE) not found
glyph NL5a (UNICODE) not found
glyph NL6 (UNICODE) not found
glyph NL7 (UNICODE) not found
glyph NL8 (UNICODE) not found
glyph NL9 (UNICODE) not found
glyph NL11 (UNICODE) not found
glyph NL12 (UNICODE) not found
glyph NL13 (UNICODE) not found
glyph NL14 (UNICODE) not found
glyph NL15 (UNICODE) not found
glyph NL16 (UNICODE) not found
glyph NL17 (UNICODE) not found
glyph NL17a (UNICODE) not found
glyph NL18 (UNICODE) not found
glyph NL19 (UNICODE) not found
glyph NL20 (UNICODE) not found
glyph NU1 (UNICODE) not found
glyph NU2 (UNICODE) not found
glyph NU3 (UNICODE) not found
glyph NU4 (UNICODE) not found
glyph NU5 (UNICODE) not found
glyph NU6 (UNICODE) not found
glyph NU7 (UNICODE) not found
glyph NU8 (UNICODE) not found
glyph NU9 (UNICODE) not found
glyph NU10 (UNICODE) not found
glyph NU10a (UNICODE) not found
glyph NU11 (UNICODE) not found
glyph NU11a (UNICODE) not found
glyph NU12 (UNICODE) not found
glyph NU13 (UNICODE) not found
glyph NU14 (UNICODE) not found
glyph NU15 (UNICODE) not found
glyph NU16 (UNICODE) not found
glyph NU17 (UNICODE) not found
glyph NU18 (UNICODE) not found
glyph NU18a (UNICODE) not found
glyph NU19 (UNICODE) not found
glyph NU20 (UNICODE) not found
glyph NU21 (UNICODE) not found
glyph NU22 (UNICODE) not found
glyph NU22a (UNICODE) not found
glyph O1a (UNICODE) not found
glyph O5a (UNICODE) not found
glyph O6e (UNICODE) not found
glyph O6f (UNICODE) not found
glyph O10b (UNICODE) not found
glyph O10c (UNICODE) not found
glyph O25a (UNICODE) not found
glyph O29a (UNICODE) not found
glyph O30a (UNICODE) not found
glyph O50a (UNICODE) not found
glyph O50b (UNICODE) not found
glyph S6a (UNICODE) not found
glyph S26a (UNICODE) not found
