#	Table of MdC to Unicode equivalence
#	MdC here is really "JSesh" MdC.
#	In some cases, "non MdC" means that the sign has no
#	real MdC equivalent (for instance groups).
#	Comments :
#	L3 +s-L3-+l: the MdC orientation is wrong, correct should be +s-L3\R180-+l. We will however keep the wrong orientation,
#	for backward compatibility.
#	Structure : 
#	1st column+s-+l JSesh glyph code (using additional glyphs when necessary)
#	2nd column+s-+l Unicode equivalent
#	3rd column +s-+lUnicode position
#	4th column +s-+lPossible MdC equivalent when the sign is in fact a group.
A1	A001	0x13000	
A2	A002	0x13001	
A3	A003	0x13002	
A4	A004	0x13003	
A5	A005	0x13004	
A5A	A005a	0x13005	
A6	A006	0x13006	
A133	A006a	0x13007	
US1A6BEXTU	A006b	0x13008	
A7	A007	0x13009	
A8	A008	0x1300A	
A9	A009	0x1300B	
A10	A010	0x1300C	
A11	A011	0x1300D	
A12	A012	0x1300E	
A13	A013	0x1300F	
A14	A014	0x13010	
A14A	A014a	0x13011	
A15	A015	0x13012	
A16	A016	0x13013	
A17	A017	0x13014	
A17A	A017a	0x13015	
A18	A018	0x13016	
A19	A019	0x13017	
A20	A020	0x13018	
A21	A021	0x13019	
A22	A022	0x1301A	
A23	A023	0x1301B	
A24	A024	0x1301C	
A25	A025	0x1301D	
A26	A026	0x1301E	
A27	A027	0x1301F	
A28	A028	0x13020	
A29	A029	0x13021	
A30	A030	0x13022	
A31	A031	0x13023	
A32	A032	0x13024	
A32F	A032a	0x13025	
A33	A033	0x13026	
A34	A034	0x13027	
A35	A035	0x13028	
A36	A036	0x13029	
A37	A037	0x1302A	
A38	A038	0x1302B	
A39	A039	0x1302C	
A40	A040	0x1302D	
A40A	A040a	0x1302E	
A41	A041	0x1302F	
A42	A042	0x13030	
A42A	A042a	0x13031	
A43	A043	0x13032	
A43D	A043a	0x13033	
A44	A044	0x13034	
A45	A045	0x13035	
A45B	A045a	0x13036	
A46	A046	0x13037	
A47	A047	0x13038	
A48	A048	0x13039	
A49	A049	0x1303A	
A50	A050	0x1303B	
A51	A051	0x1303C	
A52	A052	0x1303D	
A53	A053	0x1303E	
A54	A054	0x1303F	
A55	A055	0x13040	
A56	A056	0x13041	
A57	A057	0x13042	
A58B	A058	0x13043	
A59	A059	0x13044	
A60	A060	0x13045	
A61	A061	0x13046	
A62	A062	0x13047	
A63	A063	0x13048	
A116	A064	0x13049	
A469	A065	0x1304A	
A239	A066	0x1304B	
A282	A067	0x1304C	
A199A	A068	0x1304D	
A69	A069	0x1304E	
A73	A070	0x1304F	
B1	B001	0x13050	
B2	B002	0x13051	
B3	B003	0x13052	
B4	B004	0x13053	
B5	B005	0x13054	
B104	B005a	0x13055	
B6	B006	0x13056	
B7	B007	0x13057	
B8	B008	0x13058	
B47	B009	0x13059	
C1	C001	0x1305A	
C2	C002	0x1305B	
C2A	C002a	0x1305C	
US1C2BEXTU	C002b	0x1305D	C2A\
US1C2CEXTU	C002c	0x1305E	C2\
C3	C003	0x1305F	
C4	C004	0x13060	
C5	C005	0x13061	
C6	C006	0x13062	
C7	C007	0x13063	
C8	C008	0x13064	
C9	C009	0x13065	
C10	C010	0x13066	
C10A	C010a	0x13067	
C11	C011	0x13068	
C12	C012	0x13069	
US1C13EXTU	C013	0x1306A	C12\
C14	C014	0x1306B	
US1C15EXTU	C015	0x1306C	C14\	
C16	C016	0x1306D	
C17	C017	0x1306E	
C18	C018	0x1306F	
C19	C019	0x13070	
C20	C020	0x13071	
C33	C021	0x13072	
C49B	C022	0x13073	
C165	C023	0x13074	
A45B	C024	0x13075	
D1	D001	0x13076	
D2	D002	0x13077	
D3	D003	0x13078	
D4	D004	0x13079	
D5	D005	0x1307A	
D6	D006	0x1307B	
D7	D007	0x1307C	
D8	D008	0x1307D	
D8A	D008a	0x1307E	
D9	D009	0x1307F	
D10	D010	0x13080	
D11	D011	0x13081	
D12	D012	0x13082	
D13	D013	0x13083	
D14	D014	0x13084	
D15	D015	0x13085	
D16	D016	0x13086	
D17	D017	0x13087	
D18	D018	0x13088	
D19	D019	0x13089	
D20	D020	0x1308A	
D21	D021	0x1308B	
D22	D022	0x1308C	
D23	D023	0x1308D	
D24	D024	0x1308E	
D25	D025	0x1308F	
D26	D026	0x13090	
D27	D027	0x13091	
D27A	D027a	0x13092	
D28	D028	0x13093	
D29	D029	0x13094	
D30	D030	0x13095	
D31	D031	0x13096	
D31A	D031a	0x13097	
D32	D032	0x13098	
D33	D033	0x13099	
D34	D034	0x1309A	
D34A	D034a	0x1309B	
D35	D035	0x1309C	
D36	D036	0x1309D	
D37	D037	0x1309E	
D38	D038	0x1309F	
D39	D039	0x130A0	
D40	D040	0x130A1	
D41	D041	0x130A2	
D42	D042	0x130A3	
D43	D043	0x130A4	
D44	D044	0x130A5	
D45	D045	0x130A6	
D46	D046	0x130A7	
D46A	D046a	0x130A8	
D47	D047	0x130A9	
D48	D048	0x130AA	
D48A	D048a	0x130AB	
D49	D049	0x130AC	
D50	D050	0x130AD	
US1D50AEXTU	D050a	0x130AE	D50-D50	
US1D50BEXTU	D050b	0x130AF	D50-D50-D50	
US1D50CEXTU	D050c	0x130B0	D50-D50-D50-D50	
US1D50DEXTU	D050d	0x130B1	D50*D50*D50:.\25*D50*D50*.\25
US1D50EEXTU	D050e	0x130B2	Dba*Dba*Dba:Dba*Dba*Dba	
US1D50FEXTU	D050f	0x130B3	D50*D50*D50*D50:.\25*D50*D50*D50*.\25	
US1D50GEXTU	D050g	0x130B4	Dba*Dba*Dba*Dba:Dba*Dba*Dba*Dba
US1D50HEXTU	D050h	0x130B5	Dba*Dba*Dba:Dba*Dba*Dba:Dba*Dba*Dba	
US1D50IEXTU	D050i	0x130B6	Dba-Dba-Dba-Dba-Dba
D51	D051	0x130B7	
D52	D052	0x130B8	
S125	D052a	0x130B9	
D53	D053	0x130BA	
D54	D054	0x130BB	
