A1	0xE000
A2	0xE001
A3	0xE002
A4	0xE003
A5	0xE004
A5a	0xE005
A6	0xE006
A6a	0xE007
A6b	0xE008
A7	0xE009
A8	0xE00A
A9	0xE00B
A10	0xE00C
A11	0xE00D
A12	0xE00E
A13	0xE00F
A14	0xE010
A14a	0xE011
A15	0xE012
A16	0xE013
A17	0xE014
A17a	0xE015
A18	0xE016
A19	0xE017
A20	0xE018
A21	0xE019
A22	0xE01A
A23	0xE01B
A24	0xE01C
A25	0xE01D
A26	0xE01E
A27	0xE01F
A28	0xE020
A29	0xE021
A30	0xE022
A31	0xE023
A32	0xE024
A32a	0xE025
A33	0xE026
A34	0xE027
A35	0xE028
A36	0xE029
A37	0xE02A
A38	0xE02B
A39	0xE02C
A40	0xE02D
A40a	0xE02E
A41	0xE02F
A42	0xE030
A42a	0xE031
A43	0xE032
A43a	0xE033
A44	0xE034
A45	0xE035
A45a	0xE036
A46	0xE037
A47	0xE038
A48	0xE039
A49	0xE03A
A50	0xE03B
A51	0xE03C
A52	0xE03D
A53	0xE03E
A54	0xE03F
A55	0xE040
A56	0xE041
A57	0xE042
A58	0xE043
A59	0xE044
A60	0xE045
A61	0xE046
A62	0xE047
A63	0xE048
A64	0xE049
A65	0xE04A
A66	0xE04B
A67	0xE04C
A68	0xE04D
A69	0xE04E
A70	0xE04F
B1	0xE050
B2	0xE051
B3	0xE052
B4	0xE053
B5	0xE054
B5a	0xE055
B6	0xE056
B7	0xE057
B8	0xE058
B9	0xE059
C1	0xE05A
C2	0xE05B
C2a	0xE05C
C2b	0xE05D
C2c	0xE05E
C3	0xE05F
C4	0xE060
C5	0xE061
C6	0xE062
C7	0xE063
C8	0xE064
C9	0xE065
C10	0xE066
C10a	0xE067
C11	0xE068
C12	0xE069
C13	0xE06A
C14	0xE06B
C15	0xE06C
C16	0xE06D
C17	0xE06E
C18	0xE06F
C19	0xE070
C20	0xE071
C21	0xE072
C22	0xE073
C23	0xE074
C24	0xE075
D1	0xE076
D2	0xE077
D3	0xE078
D4	0xE079
D5	0xE07A
D6	0xE07B
D7	0xE07C
D8	0xE07D
D8a	0xE07E
D9	0xE07F
D10	0xE080
D11	0xE081
D12	0xE082
D13	0xE083
D14	0xE084
D15	0xE085
D16	0xE086
D17	0xE087
D18	0xE088
D19	0xE089
D20	0xE08A
D21	0xE08B
D22	0xE08C
D23	0xE08D
D24	0xE08E
D25	0xE08F
D26	0xE090
D27	0xE091
D27a	0xE092
D28	0xE093
D29	0xE094
D30	0xE095
D31	0xE096
D31a	0xE097
D32	0xE098
D33	0xE099
D34	0xE09A
D34a	0xE09B
D35	0xE09C
D36	0xE09D
D37	0xE09E
D38	0xE09F
D39	0xE0A0
D40	0xE0A1
D41	0xE0A2
D42	0xE0A3
D43	0xE0A4
D44	0xE0A5
D45	0xE0A6
D46	0xE0A7
D46a	0xE0A8
D47	0xE0A9
D48	0xE0AA
D48a	0xE0AB
D49	0xE0AC
D50	0xE0AD
D50a	0xE0AE
D50b	0xE0AF
D50c	0xE0B0
D50d	0xE0B1
D50e	0xE0B2
D50f	0xE0B3
D50g	0xE0B4
D50h	0xE0B5
D50i	0xE0B6
D51	0xE0B7
D52	0xE0B8
D52a	0xE0B9
D53	0xE0BA
D54	0xE0BB
D54a	0xE0BC
D55	0xE0BD
D56	0xE0BE
D57	0xE0BF
D58	0xE0C0
D59	0xE0C1
D60	0xE0C2
D61	0xE0C3
D62	0xE0C4
D63	0xE0C5
D64	0xE0C6
D65	0xE0C7
D66	0xE0C8
D67	0xE0C9
D67a	0xE0CA
D67b	0xE0CB
D67c	0xE0CC
D67d	0xE0CD
D67e	0xE0CE
D67f	0xE0CF
D67g	0xE0D0
D67h	0xE0D1
E1	0xE0D2
E2	0xE0D3
E3	0xE0D4
E4	0xE0D5
E5	0xE0D6
E6	0xE0D7
E7	0xE0D8
E8	0xE0D9
E8a	0xE0DA
E9	0xE0DB
E9a	0xE0DC
E10	0xE0DD
E11	0xE0DE
E12	0xE0DF
E13	0xE0E0
E14	0xE0E1
E15	0xE0E2
E16	0xE0E3
E16a	0xE0E4
E17	0xE0E5
E17a	0xE0E6
E18	0xE0E7
E19	0xE0E8
E20	0xE0E9
E20a	0xE0EA
E21	0xE0EB
E22	0xE0EC
E23	0xE0ED
E24	0xE0EE
E25	0xE0EF
E26	0xE0F0
E27	0xE0F1
E28	0xE0F2
E28a	0xE0F3
E29	0xE0F4
E30	0xE0F5
E31	0xE0F6
E32	0xE0F7
E33	0xE0F8
E34	0xE0F9
E34a	0xE0FA
E36	0xE0FB
E37	0xE0FC
E38	0xE0FD
F1	0xE0FE
F1a	0xE0FF
F2	0xE100
F3	0xE101
F4	0xE102
F5	0xE103
F6	0xE104
F7	0xE105
F8	0xE106
F9	0xE107
F10	0xE108
F11	0xE109
F12	0xE10A
F13	0xE10B
F13a	0xE10C
F14	0xE10D
F15	0xE10E
F16	0xE10F
F17	0xE110
F18	0xE111
F19	0xE112
F20	0xE113
F21	0xE114
F21a	0xE115
F22	0xE116
F23	0xE117
F24	0xE118
F25	0xE119
F26	0xE11A
F27	0xE11B
F28	0xE11C
F29	0xE11D
F30	0xE11E
F31	0xE11F
F31a	0xE120
F32	0xE121
F33	0xE122
F34	0xE123
F35	0xE124
F36	0xE125
F37	0xE126
F37a	0xE127
F38	0xE128
F38a	0xE129
F39	0xE12A
F40	0xE12B
F41	0xE12C
F42	0xE12D
F43	0xE12E
F44	0xE12F
F45	0xE130
F45a	0xE131
F46	0xE132
F46a	0xE133
F47	0xE134
F47a	0xE135
F48	0xE136
F49	0xE137
F50	0xE138
F51	0xE139
F51a	0xE13A
F51b	0xE13B
F51c	0xE13C
F52	0xE13D
F53	0xE13E
G1	0xE13F
G2	0xE140
G3	0xE141
G4	0xE142
G5	0xE143
G6	0xE144
G6a	0xE145
G7	0xE146
G7a	0xE147
G7b	0xE148
G8	0xE149
G9	0xE14A
G10	0xE14B
G11	0xE14C
G11a	0xE14D
G12	0xE14E
G13	0xE14F
G14	0xE150
G15	0xE151
G16	0xE152
G17	0xE153
G18	0xE154
G19	0xE155
G20	0xE156
G20a	0xE157
G21	0xE158
G22	0xE159
G23	0xE15A
G24	0xE15B
G25	0xE15C
G26	0xE15D
G26a	0xE15E
G27	0xE15F
G28	0xE160
G29	0xE161
G30	0xE162
G31	0xE163
G32	0xE164
G33	0xE165
G34	0xE166
G35	0xE167
G36	0xE168
G36a	0xE169
G37	0xE16A
G37a	0xE16B
G38	0xE16C
G39	0xE16D
G40	0xE16E
G41	0xE16F
G42	0xE170
